Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
R7IZ Metal-16xl,r7iz.metal-16xl,512 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$7.2640 hourly,$7.9552 hourly,$5.2675 hourly,$10.2080 hourly,$7.5203 hourly
IM4GN 16xlarge,im4gn.16xlarge,256 GiB,64 vCPUs,AWS Graviton2 Processor,30000 GB (4×7500 GB NVMe SSD),100 Gigabit,$6.8281 hourly,$7.5193 hourly,$5.0876 hourly,unavailable,unavailable
R6IN Eight Extra Large,r6in.8xlarge,256 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,50 Gigabit,$3.3883 hourly,$3.7339 hourly,$2.4802 hourly,$4.8603 hourly,$3.6066 hourly
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,768 GiB,96 vCPUs,AMD EPYC 7R13 Processor,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,$21.8496 hourly,$22.8864 hourly,$14.8020 hourly,$26.2656 hourly,$18.1812 hourly
C6A 12xlarge,c6a.12xlarge,96 GiB,48 vCPUs,AMD EPYC 7R13 Processor,EBS only,18.75 Gigabit,$2.3112 hourly,$2.8296 hourly,$2.0425 hourly,$4.5192 hourly,$3.7321 hourly
R7I Double Extra Large,r7i.2xlarge,64 GiB,8 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.6384 hourly,$0.7536 hourly,$0.5375 hourly,$1.0064 hourly,$0.7903 hourly
M6A 16xlarge,m6a.16xlarge,256 GiB,64 vCPUs,AMD EPYC 7R13 Processor,EBS only,25 Gigabit,$3.5712 hourly,$4.2624 hourly,$3.0575 hourly,$6.5152 hourly,$5.3103 hourly
R6A Eight Extra Large,r6a.8xlarge,256 GiB,32 vCPUs,AMD EPYC 7R13 Processor,EBS only,12.5 Gigabit,$2.1888 hourly,$2.5344 hourly,$1.7935 hourly,$3.6608 hourly,$2.9199 hourly
I7I Metal-48xl,i7i.metal-48xl,1536 GiB,192 vCPUs,Intel Xeon Scalable (Emerald Rapids),45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R8GD Medium,r8gd.medium,8 GiB,1 vCPUs,AWS Graviton4 Processor,59 GB NVMe SSD,Up to 12.5 Gigabit,$0.0888 hourly,$0.1032 hourly,unavailable,unavailable,unavailable
R6I Eight Extra Large,r6i.8xlarge,256 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,12.5 Gigabit,$2.4320 hourly,$2.7776 hourly,$1.9544 hourly,$3.9040 hourly,$3.0808 hourly
C7I Metal-48xl,c7i.metal-48xl,384 GiB,192 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,50 Gigabit,$10.7856 hourly,$14.6448 hourly,$10.9717 hourly,$19.6176 hourly,$15.9445 hourly
G4DN 16xlarge,g4dn.16xlarge,256 GiB,64 vCPUs,Intel Xeon Family,900 GB NVMe SSD,50 Gigabit,$5.8750 hourly,$7.4620 hourly,$5.5970 hourly,$8.8190 hourly,$6.9540 hourly
X2GD Double Extra Large,x2gd.2xlarge,128 GiB,8 vCPUs,AWS Graviton2 Processor,475 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8G Quadruple Extra Large,c8g.4xlarge,32 GiB,16 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,$0.8005 hourly,$1.1973 hourly,$0.9246 hourly,unavailable,unavailable
I7IE 18xlarge,i7ie.18xlarge,576 GiB,72 vCPUs,Intel Xeon Scalable (Emerald Rapids),45000 GB (6×7500 GB NVMe SSD),Up to 75 Gigabit,$11.0124 hourly,$12.7980 hourly,unavailable,$14.3244 hourly,unavailable
R7A Large,r7a.large,16 GiB,2 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.1835 hourly,$0.2123 hourly,$0.1502 hourly,$0.2755 hourly,$0.2134 hourly
M5 General Purpose Extra Large,m5d.xlarge,16 GiB,4 vCPUs,Intel Xeon Platinum 8175,150 GB NVMe SSD,Up to 10 Gigabit,$0.2920 hourly,$0.4200 hourly,$0.3120 hourly,$0.4760 hourly,$0.3680 hourly
C8G Double Extra Large,c8g.2xlarge,16 GiB,8 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,$0.4002 hourly,$0.6554 hourly,$0.5191 hourly,unavailable,unavailable
T4G Nano,t4g.nano,0.5 GiB,2 vCPUs (1h 12m burst),AWS Graviton2 Processor,EBS only,Up to 5 Gigabit,$0.0054 hourly,unavailable,unavailable,unavailable,unavailable
C7GN Metal,c7gn.metal,128 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,200 Gigabit,$5.0368 hourly,$6.6240 hourly,$4.7339 hourly,unavailable,unavailable
M5N Eight Extra Large,m5n.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,25 Gigabit,$2.4480 hourly,$3.2420 hourly,$2.3360 hourly,$3.9200 hourly,$3.0140 hourly
R6I 16xlarge,r6i.16xlarge,512 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,25 Gigabit,$4.8640 hourly,$5.5552 hourly,$3.9087 hourly,$7.8080 hourly,$6.1615 hourly
M8G 24xlarge,m8g.24xlarge,384 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,$5.5651 hourly,$6.6019 hourly,$4.7240 hourly,unavailable,unavailable
R3 High-Memory Extra Large,r3.xlarge,30.5 GiB,4 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),80 GB SSD,Moderate,$0.3990 hourly,$0.5280 hourly,$0.4010 hourly,$0.5990 hourly,$0.4890 hourly
X1 Extra High-Memory 16xlarge,x1.16xlarge,976 GiB,64 vCPUs,High Frequency Intel Xeon E7-8880 v3 (Haswell),1920 GB SSD,10 Gigabit,$9.6710 hourly,$10.3620 hourly,$6.6500 hourly,$12.6150 hourly,$8.9030 hourly
C7GN Double Extra Large,c7gn.2xlarge,16 GiB,8 vCPUs,AWS Graviton3 Processor,EBS only,Up to 50 Gigabit,$0.6296 hourly,$0.7448 hourly,$0.5085 hourly,unavailable,unavailable
HPC7A 24xlarge,hpc7a.24xlarge,768 GiB,48 vCPUs,AMD EPYC 9R14 Processor,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6A 24xlarge,c6a.24xlarge,192 GiB,96 vCPUs,AMD EPYC 7R13 Processor,EBS only,37.5 Gigabit,$4.6224 hourly,$5.6592 hourly,$4.0850 hourly,$9.0384 hourly,$7.4642 hourly
C5A Large,c5a.large,4 GiB,2 vCPUs,AMD EPYC 7R32,EBS only,Up to 10 Gigabit,$0.0960 hourly,$0.1250 hourly,$0.0890 hourly,$0.1880 hourly,$0.1520 hourly
C6G 12xlarge,c6g.12xlarge,96 GiB,48 vCPUs,AWS Graviton2 Processor,EBS only,20 Gigabit,$2.0544 hourly,$2.5728 hourly,$1.8127 hourly,unavailable,unavailable
P3 High Performance GPU 16xlarge,p3.16xlarge,488 GiB,64 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,25 Gigabit,$33.5520 hourly,$34.2430 hourly,unavailable,$36.4960 hourly,unavailable
R5B 24xlarge,r5b.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,25 Gigabit,$8.6880 hourly,$11.0688 hourly,$7.8542 hourly,$13.1040 hourly,$9.8894 hourly
R8GD Metal-24xl,r8gd.metal-24xl,768 GiB,96 vCPUs,AWS Graviton4 Processor,5700 GB (3×1900 GB NVMe SSD),40 Gigabit,$8.5238 hourly,$10.9046 hourly,unavailable,unavailable,unavailable
C7A Double Extra Large,c7a.2xlarge,16 GiB,8 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.5168 hourly,$0.7720 hourly,$0.5960 hourly,$0.8848 hourly,$0.7088 hourly
M8G Large,m8g.large,8 GiB,2 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.1159 hourly,$0.1447 hourly,$0.1056 hourly,unavailable,unavailable
M6A 12xlarge,m6a.12xlarge,192 GiB,48 vCPUs,AMD EPYC 7R13 Processor,EBS only,18.75 Gigabit,$2.6784 hourly,$3.1968 hourly,$2.2931 hourly,$4.8864 hourly,$3.9827 hourly
C7GN Medium,c7gn.medium,2 GiB,1 vCPUs,AWS Graviton3 Processor,EBS only,Up to 25 Gigabit,$0.0787 hourly,$0.1106 hourly,$0.0811 hourly,unavailable,unavailable
R7GD Quadruple Extra Large,r7gd.4xlarge,128 GiB,16 vCPUs,AWS Graviton3 Processor,950 GB NVMe SSD,Up to 15 Gigabit,$1.3154 hourly,$1.4882 hourly,$1.0015 hourly,unavailable,unavailable
M6IN Quadruple Extra Large,m6in.4xlarge,64 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 50 Gigabit,$1.4321 hourly,$1.6049 hourly,$1.0750 hourly,$2.1681 hourly,$1.6382 hourly
M6A Quadruple Extra Large,m6a.4xlarge,64 GiB,16 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.8928 hourly,$1.0656 hourly,$0.7644 hourly,$1.6288 hourly,$1.3276 hourly
R6I Quadruple Extra Large,r6i.4xlarge,128 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$1.2160 hourly,$1.3888 hourly,$0.9772 hourly,$1.9520 hourly,$1.5404 hourly
R5 12xlarge,r5.12xlarge,384 GiB,48 vCPUs,Intel Xeon Platinum 8175,EBS only,12 Gigabit,$3.6480 hourly,$4.8380 hourly,$3.4890 hourly,$5.8560 hourly,$4.5060 hourly
