Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
MAC2 Metal,mac2.metal,16 GiB,8 vCPUs,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
MAC2-M2PRO Metal,mac2-m2pro.metal,32 GiB,12 vCPUs,Apple M2 Pro,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN 12xlarge,d3en.12xlarge,192 GiB,48 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),335520 GB (24×13980 GB NVMe HDD),75 Gigabit,$9.1476 hourly,$10.3380 hourly,$6.9534 hourly,$11.3556 hourly,$7.9710 hourly
D3EN Eight Extra Large,d3en.8xlarge,128 GiB,32 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),223680 GB (16×13980 GB NVMe HDD),50 Gigabit,$6.0984 hourly,$6.8920 hourly,$4.6356 hourly,$7.5704 hourly,$5.3140 hourly
X2IEZN 12xlarge,x2iezn.12xlarge,1536 GiB,48 vCPUs,Intel Xeon Platinum 8252,EBS only,100 Gigabit,$14.5080 hourly,$15.0264 hourly,$9.4519 hourly,$16.7160 hourly,$11.1415 hourly
U7I-8TB 112xlarge,u7i-8tb.112xlarge,8192 GiB,448 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
U7IN-24TB 224xlarge,u7in-24tb.224xlarge,24576 GiB,896 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
DL1 24xlarge,dl1.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8275L,4000 GB (4×1000 GB NVMe SSD),4x 100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G 48xlarge,x8g.48xlarge,3072 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
U7I-6TB 112xlarge,u7i-6tb.112xlarge,6144 GiB,448 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I8G Double Extra Large,i8g.2xlarge,64 GiB,8 vCPUs,AWS Graviton4 Processor,1875 GB NVMe SSD,Up to 12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,Intel Xeon E5-2680 v2 (Ivy Bridge),320 GB (2×160 GB SSD),High,$1.0210 hourly,$1.4210 hourly,$1.1340 hourly,$1.8490 hourly,$1.4890 hourly
X8G Extra Large,x8g.xlarge,64 GiB,4 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,Intel Xeon E5-2680 v2 (Ivy Bridge),32 GB (2×16 GB SSD),Moderate,$0.1280 hourly,$0.1570 hourly,$0.1210 hourly,$0.2310 hourly,$0.1870 hourly
X2IEZN 6xlarge,x2iezn.6xlarge,768 GiB,24 vCPUs,Intel Xeon Platinum 8252,EBS only,50 Gigabit,$7.2540 hourly,$7.5132 hourly,$4.7259 hourly,$8.3580 hourly,$5.5707 hourly
X8G Large,x8g.large,32 GiB,2 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
U7IN-32TB 224xlarge,u7in-32tb.224xlarge,32768 GiB,896 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X2IEZN Double Extra Large,x2iezn.2xlarge,256 GiB,8 vCPUs,Intel Xeon Platinum 8252,EBS only,Up to 25 Gigabit,$2.4180 hourly,$2.5332 hourly,$1.6041 hourly,$2.7860 hourly,$1.8569 hourly
M3 General Purpose Double Extra Large,m3.2xlarge,30 GiB,8 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),160 GB (2×80 GB SSD),High,$0.7700 hourly,$1.0230 hourly,$0.7130 hourly,$1.1660 hourly,$0.9100 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,Intel Xeon E5-2680 v2 (Ivy Bridge),160 GB (2×80 GB SSD),High,$0.5110 hourly,$0.6270 hourly,$0.4840 hourly,$0.9250 hourly,$0.7440 hourly
X2IEZN Quadruple Extra Large,x2iezn.4xlarge,512 GiB,16 vCPUs,Intel Xeon Platinum 8252,EBS only,Up to 25 Gigabit,$4.8360 hourly,$5.0088 hourly,$3.1506 hourly,$5.5720 hourly,$3.7138 hourly
C8GN 24xlarge,c8gn.24xlarge,192 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN Extra Large,d3en.xlarge,16 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),27960 GB (2×13980 GB NVMe HDD),Up to 25 Gigabit,$0.7620 hourly,$0.8900 hourly,$0.6080 hourly,$0.9460 hourly,$0.6640 hourly
F2 6xlarge,f2.6xlarge,256 GiB,24 vCPUs,AMD EPYC 7R13 Processor,940 GB NVMe SSD,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Extra Large,c8gn.xlarge,8 GiB,4 vCPUs,AWS Graviton4 Processor,EBS only,Up to 40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M3 General Purpose Large,m3.large,7.5 GiB,2 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),32 GB SSD,Moderate,$0.1930 hourly,$0.2210 hourly,$0.1430 hourly,$0.2920 hourly,$0.2280 hourly
F2 12xlarge,f2.12xlarge,512 GiB,48 vCPUs,AMD EPYC 7R13 Processor,1880 GB (2×940 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN Double Extra Large,d3en.2xlarge,32 GiB,8 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),55920 GB (4×13980 GB NVMe HDD),Up to 25 Gigabit,$1.5250 hourly,$1.6400 hourly,$1.0760 hourly,$1.8930 hourly,$1.3280 hourly
VT1 24xlarge,vt1.24xlarge,192 GiB,96 vCPUs,Intel Xeon Platinum 8259CL,EBS only,25 Gigabit,$6.5459 hourly,$7.5827 hourly,$5.1479 hourly,unavailable,unavailable
X2IEZN Metal,x2iezn.metal,1536 GiB,48 vCPUs,Intel Xeon Platinum 8252,EBS only,100 Gigabit,$14.5080 hourly,$15.0264 hourly,$9.4519 hourly,$16.7160 hourly,$11.1415 hourly
P3DN 24xlarge,p3dn.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8175 (Skylake),1800 GB (2×900 GB NVMe SSD),100 Gigabit,$42.7830 hourly,$43.8200 hourly,$28.0620 hourly,$47.1990 hourly,$31.4410 hourly
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,Intel Xeon E5-2680 v2 (Ivy Bridge),640 GB (2×320 GB SSD),10 Gigabit,$2.0430 hourly,$2.8420 hourly,$2.2690 hourly,$3.6990 hourly,$2.9780 hourly
I8G Large,i8g.large,16 GiB,2 vCPUs,AWS Graviton4 Processor,468 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G Eight Extra Large,x8g.8xlarge,512 GiB,32 vCPUs,AWS Graviton4 Processor,EBS only,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M3 General Purpose Medium,m3.medium,3.75 GiB,1 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),4 GB SSD,Moderate,$0.0960 hourly,$0.1100 hourly,$0.0720 hourly,$0.1460 hourly,$0.1140 hourly
I8G 16xlarge,i8g.16xlarge,512 GiB,64 vCPUs,AWS Graviton4 Processor,15000 GB (4×3750 GB NVMe SSD),Up to 37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Eight Extra Large,c8gn.8xlarge,64 GiB,32 vCPUs,AWS Graviton4 Processor,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G Metal-24xl,x8g.metal-24xl,1536 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,Intel Xeon E5-2680 v2 (Ivy Bridge),80 GB (2×40 GB SSD),Moderate,$0.2550 hourly,$0.3840 hourly,$0.3120 hourly,$0.4620 hourly,$0.3740 hourly
D3EN 6xlarge,d3en.6xlarge,96 GiB,24 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),167760 GB (12×13980 GB NVMe HDD),40 Gigabit,$4.5740 hourly,$5.1690 hourly,$3.4770 hourly,$5.6780 hourly,$3.9850 hourly
U7I-12TB 224xlarge,u7i-12tb.224xlarge,12288 GiB,896 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M1 General Purpose Extra Large,m1.xlarge,15 GiB,4 vCPUs,Intel Xeon Family,1680 GB (4×420 GB HDD),High,$0.4860 hourly,$0.6160 hourly,$0.3540 hourly,$0.7060 hourly,$0.5300 hourly
HPC7G Eight Extra Large,hpc7g.8xlarge,128 GiB,32 vCPUs,AWS Graviton3 Processor,EBS only,200 Gigabit,$2.1117 hourly,$2.4573 hourly,$2.0086 hourly,unavailable,unavailable
C8GN 16xlarge,c8gn.16xlarge,128 GiB,64 vCPUs,AWS Graviton4 Processor,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M3 General Purpose Extra Large,m3.xlarge,15 GiB,4 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),80 GB (2×40 GB SSD),High,$0.3850 hourly,$0.5120 hourly,$0.3560 hourly,$0.5830 hourly,$0.4570 hourly
M1 General Purpose Medium,m1.medium,3.75 GiB,1 vCPUs,Intel Xeon Family,410 GB HDD,Moderate,$0.1220 hourly,$0.1360 hourly,$0.0880 hourly,$0.1770 hourly,$0.1330 hourly
U7IN-16TB 224xlarge,u7in-16tb.224xlarge,16384 GiB,896 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X2IEZN Eight Extra Large,x2iezn.8xlarge,1024 GiB,32 vCPUs,Intel Xeon Platinum 8252,EBS only,75 Gigabit,$9.6720 hourly,$10.4656 hourly,$6.7492 hourly,$11.1440 hourly,$7.4276 hourly
M1 General Purpose Small,m1.small,1.7 GiB,1 vCPUs,Intel Xeon Family,160 GB HDD,Low,$0.0610 hourly,$0.0750 hourly,$0.0510 hourly,$0.0880 hourly,$0.0660 hourly
M1 General Purpose Large,m1.large,7.5 GiB,2 vCPUs,Intel Xeon Family,840 GB (2×420 GB HDD),Moderate,$0.2430 hourly,$0.2720 hourly,$0.1770 hourly,$0.3530 hourly,$0.2650 hourly
C8GN Quadruple Extra Large,c8gn.4xlarge,32 GiB,16 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I8G 24xlarge,i8g.24xlarge,768 GiB,96 vCPUs,AWS Graviton4 Processor,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F2 48xlarge,f2.48xlarge,2048 GiB,192 vCPUs,AMD EPYC 7R13 Processor,7520 GB (8×940 GB NVMe SSD),100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I8G Extra Large,i8g.xlarge,32 GiB,4 vCPUs,AWS Graviton4 Processor,937 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
D3EN Quadruple Extra Large,d3en.4xlarge,64 GiB,16 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),111840 GB (8×13980 GB NVMe HDD),25 Gigabit,$3.0490 hourly,$3.2220 hourly,$2.0940 hourly,$3.7850 hourly,$2.6570 hourly
C8GN Metal-24xl,c8gn.metal-24xl,192 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,300 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 Quadruple Extra Large,f1.4xlarge,244 GiB,16 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),940 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 Double Extra Large,f1.2xlarge,122 GiB,8 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),470 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN 12xlarge,c8gn.12xlarge,96 GiB,48 vCPUs,AWS Graviton4 Processor,EBS only,150 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G2 Double Extra Large,g2.2xlarge,15 GiB,8 vCPUs,Intel Xeon E5-2670 (Sandy Bridge),EBS only,Moderate,$0.8980 hourly,$1.0130 hourly,unavailable,$1.0100 hourly,unavailable
C8GN 48xlarge,c8gn.48xlarge,384 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,600 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Metal-48xl,c8gn.metal-48xl,384 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,600 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
HPC7G 16xlarge,hpc7g.16xlarge,128 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,200 Gigabit,$2.1117 hourly,$2.8029 hourly,$2.3542 hourly,unavailable,unavailable
U-18TB1 Metal,u-18tb1.metal,18432 GiB,448 vCPUs,Intel Xeon Platinum 8280L (Cascade Lake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Metal,g5g.metal,128 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$3.7039 hourly,$5.2911 hourly,$4.1151 hourly,unavailable,unavailable
X8G 24xlarge,x8g.24xlarge,1536 GiB,96 vCPUs,AWS Graviton4 Processor,EBS only,40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
VT1 3xlarge,vt1.3xlarge,24 GiB,12 vCPUs,Intel Xeon Platinum 8259CL,EBS only,3.12 Gigabit,$0.8182 hourly,$1.1158 hourly,$0.8115 hourly,unavailable,unavailable
X8G 12xlarge,x8g.12xlarge,768 GiB,48 vCPUs,AWS Graviton4 Processor,EBS only,22.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I8G 48xlarge,i8g.48xlarge,1536 GiB,192 vCPUs,AWS Graviton4 Processor,45000 GB (12×3750 GB NVMe SSD),Up to 100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G Medium,x8g.medium,16 GiB,1 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
X8G 16xlarge,x8g.16xlarge,1024 GiB,64 vCPUs,AWS Graviton4 Processor,EBS only,30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
P4DE 24xlarge,p4de.24xlarge,1152 GiB,96 vCPUs,Intel Xeon Platinum 8275L,8000 GB (8×1000 GB NVMe SSD),4x 100 Gigabit,$37.6223 hourly,$40.0031 hourly,$26.8554 hourly,unavailable,unavailable
X8G Double Extra Large,x8g.2xlarge,128 GiB,8 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
HPC7G Quadruple Extra Large,hpc7g.4xlarge,128 GiB,16 vCPUs,AWS Graviton3 Processor,EBS only,200 Gigabit,$2.1117 hourly,$2.2845 hourly,$1.8358 hourly,unavailable,unavailable
I8G Quadruple Extra Large,i8g.4xlarge,128 GiB,16 vCPUs,AWS Graviton4 Processor,3750 GB NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G2 Eight Extra Large,g2.8xlarge,60 GiB,32 vCPUs,Intel Xeon E5-2670 (Sandy Bridge),EBS only,High,$3.5920 hourly,$3.9380 hourly,unavailable,$3.8700 hourly,unavailable
X8G Metal-48xl,x8g.metal-48xl,3072 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M2 High Memory Quadruple Extra Large,m2.4xlarge,68.4 GiB,8 vCPUs,Intel Xeon Family,1680 GB (2×840 GB HDD),High,$1.1500 hourly,$1.2700 hourly,$0.7190 hourly,$1.4100 hourly,$1.2480 hourly
G5G 16xlarge,g5g.16xlarge,128 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$3.7039 hourly,$4.3951 hourly,$3.2191 hourly,unavailable,unavailable
M2 High Memory Extra Large,m2.xlarge,17.1 GiB,2 vCPUs,Intel Xeon Family,420 GB HDD,Moderate,$0.2870 hourly,$0.3160 hourly,$0.1800 hourly,$0.3520 hourly,$0.3120 hourly
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,Intel Xeon Family,350 GB HDD,Moderate,$0.1580 hourly,$0.1870 hourly,$0.1490 hourly,$0.2580 hourly,$0.2080 hourly
I8G Eight Extra Large,i8g.8xlarge,256 GiB,32 vCPUs,AWS Graviton4 Processor,7500 GB (2×3750 GB NVMe SSD),Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
I8G Metal-24xl,i8g.metal-24xl,768 GiB,96 vCPUs,AWS Graviton4 Processor,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Large,c8gn.large,4 GiB,2 vCPUs,AWS Graviton4 Processor,EBS only,Up to 30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,Intel Xeon Family,1680 GB (4×420 GB HDD),High,$0.6320 hourly,$0.7470 hourly,$0.5950 hourly,$1.0320 hourly,$0.8320 hourly
G5G Double Extra Large,g5g.2xlarge,16 GiB,8 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.7505 hourly,$1.0057 hourly,$0.7674 hourly,unavailable,unavailable
X8G Quadruple Extra Large,x8g.4xlarge,256 GiB,16 vCPUs,AWS Graviton4 Processor,EBS only,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Double Extra Large,c8gn.2xlarge,16 GiB,8 vCPUs,AWS Graviton4 Processor,EBS only,Up to 50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M2 High Memory Double Extra Large,m2.2xlarge,34.2 GiB,4 vCPUs,Intel Xeon Family,850 GB HDD,Moderate,$0.5750 hourly,$0.6330 hourly,$0.3600 hourly,$0.7050 hourly,$0.6240 hourly
MAC2-M1ULTRA Metal,mac2-m1ultra.metal,128 GiB,20 vCPUs,Apple silicon M1 Ultra,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Quadruple Extra Large,g5g.4xlarge,32 GiB,16 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$1.1176 hourly,$1.2904 hourly,$0.9356 hourly,unavailable,unavailable
High Memory Cluster Eight Extra Large,cr1.8xlarge,244 GiB,32 vCPUs,Intel Xeon E5-2670,EBS only,10 Gigabit,$4.1050 hourly,$4.4510 hourly,unavailable,$4.4200 hourly,unavailable
I8G 12xlarge,i8g.12xlarge,384 GiB,48 vCPUs,AWS Graviton4 Processor,11250 GB (3×3750 GB NVMe SSD),Up to 28.12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
F1 16xlarge,f1.16xlarge,976 GiB,64 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),3760 GB (4×940 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Medium,c8gn.medium,2 GiB,1 vCPUs,AWS Graviton4 Processor,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Extra Large,g5g.xlarge,8 GiB,4 vCPUs,AWS Graviton2 Processor,EBS only,Up to 10 Gigabit,$0.5669 hourly,$0.6245 hourly,$0.4445 hourly,unavailable,unavailable
VT1 6xlarge,vt1.6xlarge,48 GiB,24 vCPUs,Intel Xeon Platinum 8259CL,EBS only,6.25 Gigabit,$1.6365 hourly,$2.2317 hourly,$1.6230 hourly,unavailable,unavailable
U-24TB1 Metal,u-24tb1.metal,24576 GiB,448 vCPUs,Intel Xeon Platinum 8280L (Cascade Lake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G5G Eight Extra Large,g5g.8xlarge,64 GiB,32 vCPUs,AWS Graviton2 Processor,EBS only,12 Gigabit,$1.8519 hourly,$2.6455 hourly,$2.0576 hourly,unavailable,unavailable
High Storage Eight Extra Large,hs1.8xlarge,117 GiB,16 vCPUs,Intel Xeon E5-2650,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
T1 Micro,t1.micro,0.613 GiB,1 vCPUs,Variable,EBS only,Very Low,$0.0260 hourly,$0.0400 hourly,$0.0320 hourly,$0.0330 hourly,$0.0290 hourly
Cluster Compute Eight Extra Large,cc2.8xlarge,60.5 GiB,32 vCPUs,Intel Xeon E5-2670,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
DL2Q 24xlarge,dl2q.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6GN Metal,c6gn.metal,128 GiB,64 vCPUs,AWS Graviton2 Processor,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
